Gender,Age,"Extraverted, enthusiastic.","Critical, quarrelsome.","Dependable, self-disciplined.","Anxious, easily upset","Open to new experiences, complex","Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, uncreative","KSS - Karolinska Sleepiness Scale : This is an alertness test , under this we need to rate our self from degree of sleepiness as follows:","This is an sleepiness test, under this we need to rate our self from degree of sleepiness as follows: "
Woman,26.00,5.00,3.00,4.00,5.00,3.00,4.00,5.00,4.00,4.00,4.00,3.00,4.00
Woman,26.00,5.00,3.00,4.00,5.00,3.00,4.00,5.00,4.00,4.00,4.00,3.00,4.00
Man,29.00,4.00,2.00,6.00,5.00,3.00,3.00,4.00,4.00,3.00,4.00,6.00,7.00
Man,29.00,4.00,2.00,6.00,5.00,3.00,3.00,4.00,4.00,3.00,4.00,6.00,7.00
Man,29.00,4.00,2.00,6.00,5.00,3.00,3.00,4.00,4.00,3.00,4.00,6.00,7.00
Man,31.00,2.00,1.00,1.00,6.00,6.00,7.00,7.00,5.00,2.00,4.00,6.00,6.00
Man,31.00,2.00,1.00,1.00,6.00,6.00,7.00,7.00,5.00,2.00,4.00,6.00,6.00
Man,31.00,2.00,1.00,1.00,6.00,6.00,7.00,7.00,5.00,2.00,4.00,6.00,6.00
Man,23.00,4.00,3.00,6.00,2.00,6.00,2.00,2.00,2.00,6.00,2.00,1.00,7.00
Man,27.00,3.00,4.00,4.00,6.00,6.00,6.00,4.00,5.00,4.00,4.00,6.00,6.00
Man,27.00,3.00,4.00,4.00,6.00,6.00,6.00,4.00,5.00,4.00,4.00,6.00,6.00
Woman,26.00,3.00,3.00,6.00,4.00,5.00,6.00,7.00,1.00,3.00,3.00,7.00,8.00
Man,23.00,5.00,5.00,5.00,4.00,6.00,6.00,3.00,3.00,5.00,2.00,3.00,4.00
Man,28.00,7.00,4.00,7.00,1.00,7.00,3.00,7.00,1.00,7.00,1.00,1.00,5.00
Man,28.00,5.00,5.00,4.00,5.00,5.00,3.00,4.00,1.00,6.00,3.00,4.00,6.00
Woman,23.00,6.00,1.00,6.00,4.00,6.00,1.00,5.00,1.00,5.00,1.00,8.00,5.00
Woman,23.00,6.00,1.00,6.00,4.00,6.00,1.00,5.00,1.00,5.00,1.00,8.00,5.00
Man,28.00,2.00,4.00,6.00,3.00,6.00,7.00,6.00,4.00,7.00,4.00,5.00,6.00
Man,28.00,2.00,4.00,6.00,3.00,6.00,7.00,6.00,4.00,7.00,4.00,5.00,6.00
Man,24.00,3.00,4.00,6.00,4.00,7.00,3.00,6.00,6.00,3.00,2.00,2.00,3.00
Man,24.00,3.00,4.00,6.00,4.00,7.00,3.00,6.00,6.00,3.00,2.00,2.00,3.00
Man,26.00,4.00,4.00,6.00,5.00,5.00,7.00,6.00,5.00,6.00,3.00,6.00,7.00
Man,26.00,5.00,5.00,5.00,2.00,5.00,4.00,4.00,4.00,5.00,4.00,5.00,5.00
Man,26.00,5.00,5.00,5.00,2.00,5.00,4.00,4.00,4.00,5.00,4.00,5.00,5.00
Man,19.00,4.00,6.00,5.00,4.00,7.00,5.00,6.00,6.00,4.00,4.00,5.00,7.00
Woman,26.00,5.00,3.00,4.00,5.00,3.00,4.00,5.00,4.00,4.00,4.00,3.00,4.00
Woman,26.00,5.00,3.00,4.00,5.00,3.00,4.00,5.00,4.00,4.00,4.00,3.00,4.00
Man,28.00,4.00,5.00,5.00,3.00,3.00,3.00,6.00,4.00,5.00,4.00,3.00,3.00
Man,26.00,4.00,4.00,6.00,6.00,5.00,4.00,5.00,6.00,6.00,4.00,6.00,3.00
Man,26.00,4.00,4.00,6.00,6.00,5.00,4.00,5.00,6.00,6.00,4.00,6.00,3.00
Woman,28.00,4.00,4.00,5.00,5.00,6.00,6.00,4.00,5.00,5.00,4.00,3.00,5.00
Man,21.00,3.00,1.00,5.00,2.00,7.00,4.00,6.00,5.00,4.00,2.00,7.00,8.00
Man,21.00,3.00,1.00,5.00,2.00,7.00,4.00,6.00,5.00,4.00,2.00,7.00,8.00
Woman,43.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00
Man,43.00,5.00,5.00,5.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00
Man,22.00,7.00,2.00,6.00,3.00,6.00,4.00,6.00,3.00,7.00,2.00,2.00,3.00
Man,25.00,5.00,4.00,6.00,3.00,6.00,4.00,5.00,1.00,3.00,1.00,3.00,4.00
Man,25.00,5.00,4.00,6.00,3.00,6.00,4.00,5.00,1.00,3.00,1.00,3.00,4.00
Man,27.00,3.00,4.00,4.00,6.00,6.00,6.00,4.00,5.00,4.00,4.00,6.00,6.00
Man,23.00,5.00,5.00,5.00,4.00,6.00,6.00,3.00,3.00,5.00,2.00,3.00,4.00
Woman,52.00,5.00,2.00,6.00,2.00,6.00,3.00,6.00,2.00,5.00,2.00,4.00,5.00
Woman,52.00,5.00,2.00,6.00,2.00,6.00,3.00,6.00,2.00,5.00,2.00,4.00,5.00
Man,28.00,6.00,4.00,5.00,4.00,6.00,3.00,6.00,3.00,6.00,3.00,2.00,3.00
Man,28.00,6.00,4.00,5.00,4.00,6.00,3.00,6.00,3.00,6.00,3.00,2.00,3.00
Man,28.00,6.00,2.00,6.00,2.00,6.00,4.00,6.00,1.00,6.00,2.00,8.00,10.00
